时间戳,栋舍编号,温度,湿度,氨气浓度(ppm),CO2浓度(ppm),光照强度(lux),噪声(dB),通风能耗kWh,加热能耗kWh,降温能耗kWh
2026-06-12 18:11:50,1号栋,24.29,70.8,16.38,2207.17,4392.37,52.19,64.56,0,14.69
2026-06-12 18:26:50,1号栋,22.64,68.14,15.29,2161.51,4170.06,50.3,75.97,0,28.19
2026-06-12 18:41:50,1号栋,23.53,66.41,16.23,2120.84,4048.58,53.87,55.76,0,27.67
2026-06-12 18:56:50,1号栋,23.2,72.97,17.29,1887.12,5035.35,50.68,63.69,0,14.32
2026-06-12 19:11:50,1号栋,22.32,69.65,18.8,2132.93,3967.85,52.52,46.37,0,24.24
2026-06-12 19:26:50,1号栋,22.75,71.37,18.01,1746.05,4187.72,52.35,54.61,0,34.89
2026-06-12 19:41:50,1号栋,23.5,71.12,15.64,2036.82,4191.31,55.07,56.96,0,28.51
2026-06-12 19:56:50,1号栋,22.43,66.87,18.94,2369.91,3989.67,55.13,64.83,0,24.84
2026-06-12 20:11:50,1号栋,22.68,72.34,17.25,2411.59,2158.18,54.76,62.21,0,27.61
2026-06-12 20:26:50,1号栋,22.54,65.29,16.88,2170.08,4207.0,52.08,53.19,0,25.99
2026-06-12 20:41:50,1号栋,22.96,69.92,16.26,2201.31,3516.59,55.06,54.46,0,27.38
2026-06-12 20:56:50,1号栋,22.3,66.33,17.91,2150.87,3470.61,52.65,47.0,0,26.63
2026-06-12 21:11:50,1号栋,21.91,67.66,17.0,2179.47,3932.31,53.47,63.53,0,29.4
2026-06-12 21:26:50,1号栋,21.12,69.21,17.44,2591.31,2893.04,53.72,60.22,0,20.65
2026-06-12 21:41:50,1号栋,22.66,70.76,18.9,1916.78,3690.61,50.32,67.2,0,47.52
2026-06-12 21:56:50,1号栋,21.59,68.13,17.52,1997.96,2213.89,53.26,50.17,0,33.79
2026-06-12 22:11:50,1号栋,21.31,72.36,15.75,2034.25,3028.55,50.66,62.93,0,40.46
2026-06-12 22:26:50,1号栋,20.96,69.63,17.84,2255.02,2003.32,50.48,65.7,0,32.38
2026-06-12 22:41:50,1号栋,21.89,69.95,15.96,2145.11,2768.33,51.69,79.6,0,33.79
2026-06-12 22:56:50,1号栋,21.17,70.57,15.37,2256.08,3201.09,51.48,70.22,0,33.3
2026-06-12 23:11:50,1号栋,21.98,73.05,16.83,1947.91,1946.06,51.49,60.22,0,32.73
2026-06-12 23:26:50,1号栋,21.7,70.92,17.35,2389.37,2258.49,58.56,67.11,0,23.14
2026-06-12 23:41:50,1号栋,21.03,70.23,16.87,2241.46,2627.44,52.97,52.05,0,17.88
2026-06-12 23:56:50,1号栋,21.34,70.97,17.75,1849.51,2477.41,53.89,51.83,0,31.23
2026-06-13 00:11:50,1号栋,21.53,66.97,18.04,2210.82,2853.56,55.23,46.99,0,22.5
2026-06-13 00:26:50,1号栋,21.76,70.29,18.35,2869.2,2597.48,55.39,70.42,0,35.21
2026-06-13 00:41:50,1号栋,21.34,70.78,15.77,2051.29,2069.36,53.28,83.82,0,15.06
2026-06-13 00:56:50,1号栋,21.84,66.04,16.38,2316.45,2344.18,50.96,53.77,0,35.44
2026-06-13 01:11:50,1号栋,21.2,69.69,17.41,1968.34,3462.79,54.39,40.35,0,31.49
2026-06-13 01:26:50,1号栋,21.24,70.97,15.73,2075.71,2643.31,54.85,48.61,0,27.32
2026-06-13 01:41:50,1号栋,21.33,67.95,20.85,2179.65,1760.38,54.96,81.89,0,38.26
2026-06-13 01:56:50,1号栋,20.81,68.29,19.85,1957.12,2612.73,54.67,51.13,0,29.52
2026-06-13 02:11:50,1号栋,20.15,67.21,16.81,1849.1,3438.0,50.26,55.67,0,31.05
2026-06-13 02:26:50,1号栋,22.49,66.39,19.65,2100.71,2131.04,54.04,63.23,0,25.2
2026-06-13 02:41:50,1号栋,21.8,68.49,17.55,2231.08,3414.8,50.64,82.23,0,14.38
2026-06-13 02:56:50,1号栋,21.69,70.44,17.88,1974.12,2517.73,52.13,54.95,0,36.8
2026-06-13 03:11:50,1号栋,22.26,67.87,19.12,2160.12,3395.65,54.38,52.84,0,25.52
2026-06-13 03:26:50,1号栋,22.46,70.48,17.28,2122.12,3628.05,51.94,66.7,0,28.38
2026-06-13 03:41:50,1号栋,21.98,71.46,18.97,2261.36,3641.96,53.16,67.81,0,27.52
2026-06-13 03:56:50,1号栋,22.25,69.0,17.51,2217.69,2580.11,57.3,51.06,0,20.29
2026-06-13 04:11:50,1号栋,23.08,70.84,18.57,2224.33,3461.93,51.33,62.3,0,24.58
2026-06-13 04:26:50,1号栋,22.99,68.97,15.67,2034.38,3674.52,51.99,53.27,0,31.95
2026-06-13 04:41:50,1号栋,22.62,68.25,16.38,2145.07,2744.01,50.3,54.13,0,28.29
2026-06-13 04:56:50,1号栋,22.65,72.21,19.04,2066.67,3458.55,51.11,61.14,0,27.69
2026-06-13 05:11:50,1号栋,23.14,67.61,18.36,2405.21,3971.3,53.92,68.47,0,26.79
2026-06-13 05:26:50,1号栋,23.09,69.29,17.52,1944.06,4037.93,54.12,76.06,0,37.67
2026-06-13 05:41:50,1号栋,24.06,67.73,19.06,2135.33,5120.58,51.5,53.63,0,25.2
2026-06-13 05:56:50,1号栋,21.92,68.21,15.8,2128.74,4196.55,56.87,70.46,0,25.38
2026-06-13 06:11:50,1号栋,23.05,70.24,14.68,2464.95,5213.79,52.18,44.39,0,40.83
